,precision,recall,f1-score,support
Endothelium,1.0,1.0,1.0,424.0
Epithelium,1.0,1.0,1.0,535.0
Lymphoid,0.9989615784008308,0.9958592132505176,0.9974079834110938,966.0
Myeloid,0.9950186799501868,0.99875,0.9968808484092326,800.0
Stromal,1.0,1.0,1.0,149.0
accuracy,0.9982602644398052,0.9982602644398052,0.9982602644398052,0.9982602644398052
macro avg,0.9987960516702035,0.9989218426501034,0.9988577663640653,2874.0
weighted avg,0.998264380200192,0.9982602644398052,0.9982605395624575,2874.0
