,precision,recall,f1-score,support
Endothelium,1.0,1.0,1.0,424.0
Epithelium,0.9962756052141527,1.0,0.9981343283582089,535.0
Lymphoid,1.0,0.9927536231884058,0.9963636363636363,966.0
Myeloid,0.9937888198757764,1.0,0.9968847352024922,800.0
Stromal,1.0,1.0,1.0,149.0
accuracy,0.9975643702157272,0.9975643702157272,0.9975643702157272,0.9975643702157272
macro avg,0.9980128850179859,0.9985507246376812,0.9982765399848675,2874.0
weighted avg,0.9975777678114798,0.9975643702157272,0.9975633008214713,2874.0
